sample_id	MS1_TIC_median	MS1_TIC_CV	MS2_precursor_events	MS1_frames	MS2_frames	Gradient_min
002_Achromobacter_xylosoxidans_ssp_xylosoxidans_DSM2402_DDA100_4310	1162835.0	1.0975810610302918	38618	1029	5324	11.497421633333333
005_Acinetobacter_lwoffii_DSM2403_DDA100_4346	4169587.5	1.0294940537010253	38418	970	5399	11.497020066666666
007_Acinetobacter_pittii_DSM9312_DDA100_4316	3909090.0	1.0110846692304782	36388	951	5424	11.498002983333333
008_Acinetobacter_pittii_DSM9318_DDA100_4382	6973003.5	0.9860704843819421	42228	950	5423	11.4973005
011_Aeromonas_hydrophila_ssp_hydrophila_DSM30187_DDA100_4332	5357293.0	1.0293617575908465	39914	958	5417	11.497283216666666
012_Aeromonas_hydrophila_ssp_ranae_DSM17695_DDA100_4312	934395.5	1.092335266142798	38903	1030	5325	11.496891683333333
013_Aeromonas_veronii_DSM7386_DDA100_4342	2552098.0	1.0481242709662542	41369	1009	5349	11.49666915
021_Alcaligenes_faecalis_ssp_faecalis_DSM30030_DDA100_4308	1227486.0	1.0885947093533745	38268	1017	5336	11.497378966666668
022_Alcaligenes_faecalis_ssp_parafaecalis_DSM13975_DDA100_4352	1634154.0	1.0764650853928448	38269	1006	5365	11.49802725
064_Bacteroides_fragilis_DSM2151_DDA100_4328	1371896.0	1.1030812400421999	36906	1026	5332	11.497262383333332
066_Bordetella_pertussis_DSM5571_DDA100_4442	684637.0	1.096853446885078	39490	1037	5315	11.497289333333333
070_Brevundimonas_diminuta_DSM7234_DDA100_4450	3079773.0	1.042815348505953	41139	999	5362	11.498268533333334
072_Brevundimonas_diminuta_DSM1635_DDA100_4440	4334265.0	1.0364824860128343	40840	977	5391	11.49793625
076_Brevundimonas_vesicularis_DSM7226_DDA100_4446	3290770.0	1.0516227589046767	42213	998	5365	11.497863283333334
078_Brevundimonas_vesicularis_DSM108136_DDA100_4454	909400.5	1.056620983047877	42773	1026	5330	11.497798183333334
