sample_id	Identified_proteins	Identified_peptides	Median_precursor_mass_error_ppm	Median_precursor_mass_error_ppm_signed	Pct_charge_2plus	Pct_charge_3plus	Pct_zero_missed_cleavages	Identified_precursors	Median_RT_FWHM	Median_IM_FWHM
001_Achromobacter_xylosoxidans_HST_62_DDA100_5422	1651	8453	1.450803545215994	0.0	68.81481481481482	27.51111111111111	88.92592592592592	10081	5.8630004	0.018000001
002_Achromobacter_xylosoxidans_ssp_xylosoxidans_DSM2402_DDA100_4310	2010	8854	1.5253129269193864	0.0	70.30968021367214	25.972713491662457	88.8977116869992	10568	5.8630004	0.018000001
003_Acinetobacter_baumannii_DSM30011_DDA100_5340	1436	9367	1.3823661641605782	0.10433295266068765	73.324862912933	23.030627256921225	89.07984485756319	11113	5.8630004	0.020000001
004_Aeromonas_hydrophila_ssp_hydrophila_DSM30183_DDA100_5418	1775	11284	1.3074375460570145	0.0	66.05759790553071	29.497109196029236	89.48401876295408	13685	5.8630004	0.018000001
005_Acinetobacter_lwoffii_DSM2403_DDA100_4346	1398	8893	1.46872401174457	0.06792474617371415	66.67311287307419	28.86611229291562	88.58376845226584	11062	5.8630004	0.020000001
007_Acinetobacter_pittii_DSM9312_DDA100_4316	1557	9937	1.376363530965103	0.0	64.9937114451698	30.35874708031383	89.74666107684016	12238	5.8630004	0.018000001
008_Acinetobacter_pittii_DSM9318_DDA100_4382	1563	9284	1.5522481554980112	0.0	70.53807893546929	25.327821200180868	88.04340804857567	11367	5.8630004	0.020000001
011_Aeromonas_hydrophila_ssp_hydrophila_DSM30187_DDA100_4332	1794	10961	1.4792910349785762	0.0	71.75752691267054	23.80404121812216	89.0046629439871	13159	5.8630004	0.020000001
012_Aeromonas_hydrophila_ssp_ranae_DSM17695_DDA100_4312	1643	9415	1.5110740682096675	0.06353713653501623	71.3382924099796	24.37627542623922	89.8492528470805	11355	5.8630004	0.018000001
013_Aeromonas_veronii_DSM7386_DDA100_4342	1646	8864	1.6003725110554428	0.06293946696061915	71.9781360271224	23.82204386632533	87.12378052999378	10775	5.8630004	0.020000001
014_Bacillus_atrophaeus_LSSC3_DDA100_5386	1119	4624	1.5338991515699438	0.10741372380574024	72.09129248325478	24.770528404862315	88.05507318283304	5597	5.8630004	0.020000001
016_Bacillus_cereus_ATCC10987_DDA100_5362	1490	8004	1.4917176213331511	0.0	70.61347061347061	25.66137566137566	87.35163735163735	9794	5.8630004	0.020000001
018_Bacillus_atrophaeus_GBSC56_DDA100_5358	1202	4689	1.5571949742124491	0.17871299320737144	72.75410677618069	24.204312114989733	88.10318275154005	5639	5.8630004	0.020000001
019_Bacillus_atrophaeus_NMTD54_DDA100_5348	1261	4716	1.6100904497291764	0.09245139876192786	73.20195807706791	23.38395883017447	87.34780971507469	5673	5.8630004	0.020000001
020_Bacillus_atrophaeus_TS1_DDA100_5378	990	3972	1.424674414881944	0.16602400159183814	71.95103521233187	25.132235151881517	88.81668429802025	4762	5.8630004	0.020000001
021_Alcaligenes_faecalis_ssp_faecalis_DSM30030_DDA100_4308	1606	9419	1.5603125869579368	0.0	68.77106559502204	27.100077780658545	89.00700025926886	11502	5.8630004	0.018000001
022_Alcaligenes_faecalis_ssp_parafaecalis_DSM13975_DDA100_4352	1395	7645	1.5368763687830849	0.08531620309284996	68.1938600592177	27.87127941405641	89.36418887330528	9387	5.8630004	0.018000001
023_Citrobacter_amalonaticus_04-08695_DDA100_6488	1480	7090	1.4629264591550348	0.0	75.57871359015974	21.457247800461264	85.81190740582556	8414	5.8630004	0.020000001
024_Bacillus_cereus_DSM31_DDA100_5324	1657	10533	1.4674934937374813	0.07033824823492257	68.20316766794102	27.646095030038232	87.06171490988531	12993	5.8630004	0.020000001
026_Bacillus_halotolerans_LNXM37_DDA100_5346	1699	10528	1.6030863110918467	0.0	71.330869781038	24.692515581049033	86.7519717610722	12910	5.8630004	0.020000001
027_Bacillus_subtilis_ssp_spizizenii_ATCC6633_DDA100_6512	1587	10883	1.4432240068140254	0.0	75.45843024828258	21.555687780602586	84.31330123870828	13118	5.8630004	0.020000001
028_Bacillus_safensis_GBSW22_DDA100_5388	1407	8630	1.432579349877006	0.08236718682368818	73.52880160431505	22.730101652721114	88.41712191411382	10298	5.8630004	0.020000001
030_Bacillus_sp._LLTC93_DDA100_5342	1635	11277	1.4302661136304362	0.0	67.37351381954811	27.999382366565445	86.13412939420454	13968	5.8630004	0.020000001
032_Bacillus_sp._RJGP41_DDA100_5390	1376	9147	1.413981899543284	0.08119251012084938	73.99165507649514	22.173653884363205	89.3237962778992	10791	5.8630004	0.020000001
034_Bacillus_subtilis_ssp_subtilis_SYST2_DDA100_5364	1646	10265	1.5288241759419214	0.0	69.81597845601436	26.29039497307002	87.13532315978456	12618	5.8630004	0.020000001
036_Bacillus_subtilis_ssp_subtilis_NMSX4_DDA100_5370	1685	10401	1.5302697011753759	0.0	70.34637975517374	25.800076851292747	87.14936597683483	12784	5.8630004	0.020000001
