sample_id	Identified_proteins	Identified_peptides	Median_precursor_mass_error_ppm	Median_precursor_mass_error_ppm_signed	Pct_charge_2plus	Pct_charge_3plus	Pct_zero_missed_cleavages	Identified_precursors	Median_RT_FWHM	Median_IM_FWHM	MS1_TIC_median	MS1_TIC_CV	MS2_precursor_events	MS1_frames	MS2_frames	Gradient_min	Total.Protein.Number.Ref	MS1_TIC_CV_pct	Protein.Identification.Rate
001_Achromobacter_xylosoxidans_HST_62_DDA100_5422	1651	8453	1.450803545215994	0.0	68.81481481481482	27.51111111111111	88.92592592592592	10081	5.8630004	0.018000001	2080260.0	1.0628427252804322	37560	993	5370	11.498184983333337	6134	106.28427252804322	26.915552657319857
002_Achromobacter_xylosoxidans_ssp_xylosoxidans_DSM2402_DDA100_4310	2010	8854	1.5253129269193864	0.0	70.30968021367214	25.972713491662457	88.8977116869992	10568	5.8630004	0.018000001	1162835.0	1.0975810610302918	38618	1029	5324	11.497421633333332	6134	109.75810610302918	32.76817737202478
003_Acinetobacter_baumannii_DSM30011_DDA100_5340	1436	9367	1.3823661641605782	0.1043329526606876	73.324862912933	23.030627256921225	89.07984485756319	11113	5.8630004	0.020000001	5986983.0	0.9993392160522938	39800	940	5435	11.496826266666666	3765	99.93392160522939	38.14077025232404
004_Aeromonas_hydrophila_ssp_hydrophila_DSM30183_DDA100_5418	1775	11284	1.3074375460570145	0.0	66.05759790553071	29.49710919602924	89.48401876295408	13685	5.8630004	0.018000001	1523139.5	1.0753074291923557	35505	996	5366	11.497922716666666	4121	107.53074291923556	43.07206988595001
005_Acinetobacter_lwoffii_DSM2403_DDA100_4346	1398	8893	1.46872401174457	0.0679247461737141	66.67311287307419	28.86611229291562	88.58376845226584	11062	5.8630004	0.020000001	4169587.5	1.029494053701025	38418	970	5399	11.497020066666666	3273	102.94940537010251	42.71310724106325
007_Acinetobacter_pittii_DSM9312_DDA100_4316	1557	9937	1.376363530965103	0.0	64.9937114451698	30.35874708031383	89.74666107684016	12238	5.8630004	0.018000001	3909090.0	1.0110846692304782	36388	951	5424	11.498002983333333	4014	101.10846692304783	38.789237668161434
008_Acinetobacter_pittii_DSM9318_DDA100_4382	1563	9284	1.5522481554980112	0.0	70.53807893546929	25.327821200180868	88.04340804857567	11367	5.8630004	0.020000001	6973003.5	0.986070484381942	42228	950	5423	11.4973005	4014	98.6070484381942	38.93871449925261
011_Aeromonas_hydrophila_ssp_hydrophila_DSM30187_DDA100_4332	1794	10961	1.4792910349785762	0.0	71.75752691267054	23.80404121812216	89.0046629439871	13159	5.8630004	0.020000001	5357293.0	1.0293617575908465	39914	958	5417	11.497283216666666	4121	102.93617575908465	43.53312302839117
012_Aeromonas_hydrophila_ssp_ranae_DSM17695_DDA100_4312	1643	9415	1.5110740682096675	0.0635371365350162	71.3382924099796	24.37627542623922	89.8492528470805	11355	5.8630004	0.018000001	934395.5	1.092335266142798	38903	1030	5325	11.496891683333333	4121	109.23352661427981	39.86896384372725
013_Aeromonas_veronii_DSM7386_DDA100_4342	1646	8864	1.6003725110554428	0.0629394669606191	71.9781360271224	23.82204386632533	87.12378052999378	10775	5.8630004	0.020000001	2552098.0	1.0481242709662542	41369	1009	5349	11.49666915	4109	104.81242709662541	40.05840837186663
014_Bacillus_atrophaeus_LSSC3_DDA100_5386	1119	4624	1.5338991515699438	0.1074137238057402	72.09129248325478	24.770528404862315	88.05507318283304	5597	5.8630004	0.020000001	1893010.0	1.0718403454465766	38871	1002	5357	11.496922616666666	4260	107.18403454465766	26.267605633802816
016_Bacillus_cereus_ATCC10987_DDA100_5362	1490	8004	1.4917176213331511	0.0	70.61347061347061	25.66137566137566	87.35163735163735	9794	5.8630004	0.020000001	785994.5	1.0859988997211396	39129	1024	5331	11.498255416666666	5240	108.59988997211396	28.435114503816795
018_Bacillus_atrophaeus_GBSC56_DDA100_5358	1202	4689	1.5571949742124491	0.1787129932073714	72.75410677618069	24.204312114989733	88.10318275154005	5639	5.8630004	0.020000001	3156682.0	1.0688368847150689	40322	997	5364	11.497117166666667	4260	106.88368847150689	28.215962441314552
019_Bacillus_atrophaeus_NMTD54_DDA100_5348	1261	4716	1.6100904497291764	0.0924513987619278	73.20195807706791	23.38395883017447	87.34780971507469	5673	5.8630004	0.020000001	563971.0	1.100060484206549	41054	1039	5312	11.498159316666666	4260	110.00604842065489	29.60093896713615
020_Bacillus_atrophaeus_TS1_DDA100_5378	990	3972	1.424674414881944	0.1660240015918381	71.95103521233187	25.13223515188152	88.81668429802025	4762	5.8630004	0.020000001	754654.5	1.0894322777253236	38613	1022	5335	11.497581416666666	4260	108.94322777253235	23.239436619718308
021_Alcaligenes_faecalis_ssp_faecalis_DSM30030_DDA100_4308	1606	9419	1.5603125869579368	0.0	68.77106559502204	27.100077780658545	89.00700025926886	11502	5.8630004	0.018000001	1227486.0	1.0885947093533743	38268	1017	5336	11.497378966666668	3770	108.85947093533743	42.59946949602122
022_Alcaligenes_faecalis_ssp_parafaecalis_DSM13975_DDA100_4352	1395	7645	1.5368763687830849	0.0853162030928499	68.1938600592177	27.87127941405641	89.36418887330528	9387	5.8630004	0.018000001	1634154.0	1.0764650853928448	38269	1006	5365	11.49802725	3770	107.64650853928448	37.0026525198939
023_Citrobacter_amalonaticus_04-08695_DDA100_6488	1480	7090	1.4629264591550348	0.0	75.57871359015974	21.457247800461264	85.81190740582556	8414	5.8630004	0.020000001	1020676.0	1.0955649992339724	40234	1067	5305	11.497912433333331	5139	109.55649992339724	28.79937731076085
024_Bacillus_cereus_DSM31_DDA100_5324	1657	10533	1.4674934937374813	0.0703382482349225	68.20316766794102	27.646095030038232	87.06171490988531	12993	5.8630004	0.020000001	605628.0	1.1080691298833285	37750	1029	5325	11.498421766666668	5240	110.80691298833285	31.62213740458015
026_Bacillus_halotolerans_LNXM37_DDA100_5346	1699	10528	1.6030863110918467	0.0	71.330869781038	24.692515581049037	86.7519717610722	12910	5.8630004	0.020000001	5662884.0	1.0281019120986263	41591	973	5396	11.497719716666667	4109	102.81019120986264	41.3482599172548
027_Bacillus_subtilis_ssp_spizizenii_ATCC6633_DDA100_6512	1587	10883	1.4432240068140254	0.0	75.45843024828258	21.555687780602582	84.31330123870828	13118	5.8630004	0.020000001	999070.0	1.0775154519240076	40865	1049	5316	11.497661583333333	4053	107.75154519240076	39.15618060695781
028_Bacillus_safensis_GBSW22_DDA100_5388	1407	8630	1.432579349877006	0.0823671868236881	73.52880160431505	22.730101652721117	88.41712191411382	10298	5.8630004	0.020000001	1570240.0	1.07288752934489	39688	1009	5348	11.496892316666669	3746	107.28875293448901	37.56006406833956
030_Bacillus_sp._LLTC93_DDA100_5342	1635	11277	1.4302661136304362	0.0	67.37351381954811	27.999382366565445	86.13412939420454	13968	5.8630004	0.020000001	585094.0	1.1019666730884283	38734	1032	5320	11.498110916666668	3812	110.19666730884283	42.89087093389297
