File.Name	Precursors.Identified	Proteins.Identified	Total.Quantity	MS1.Signal	MS2.Signal	FWHM.Scans	FWHM.RT	Median.Mass.Acc.MS1	Median.Mass.Acc.MS1.Corrected	Median.Mass.Acc.MS2	Median.Mass.Acc.MS2.Corrected	MS2.Mass.Instability	Normalisation.Instability	Median.RT.Prediction.Acc	Average.Peptide.Length	Average.Peptide.Charge	Average.Missed.Tryptic.Cleavages	Group	Filename	Subfolder	Root	Peptides.Identified	Organism	Taxonomic ID (NCBI)	Database	Proteome_ID	Strain_ID_Experiment	Strain_ID_UniProt	Total.Protein.Number.Ref	Protein.Identification.Rate
/Probe 1-96_200SPD_diaPASEF/BacLandscape_200SPD_diaPASEF_Achromobacter_xylosoxidans_subsp_xylosoxidans_22_1-25-2024_4582.d	9912	1580	159945000.0	4352474886	59176272000	2.757	0.033	1.55578	1.07059	3.30905	2.06241	0	0	0.0498507	13.309	2.321	0.126	200SPD_DIA	002_Achromobacter_xylosoxidans_ssp_xylosoxidans_DSM2402_DIA200_4582_report.stats.tsv	002_Achromobacter_xylosoxidans_ssp_xylosoxidans_DSM2402_DIA200_4582	Probe 1-96_200SPD_diaPASEF_diann_res	9029	Achromobacter xylosoxidans_ssp_xylosoxidans	85698	UniProt	UP000060602	DSM 2402	FDAARGOS_147	6134	25.758069775024456
/Probe 1-96_200SPD_diaPASEF/BacLandscape_200SPD_diaPASEF_Acinetobacter_lwoffii_40_1-26-2024_4618.d	10889	1299	245450000.0	5536813871	79524589912	2.674	0.032	2.20369	1.08754	3.46613	2.09041	0	0	0.0491623	13.659	2.384	0.154	200SPD_DIA	005_Acinetobacter_lwoffii_DSM2403_DIA200_4618_report.stats.tsv	005_Acinetobacter_lwoffii_DSM2403_DIA200_4618	Probe 1-96_200SPD_diaPASEF_diann_res	9623	Acinetobacter lwoffii	28090	UniProt	UP000293391	DSM 2403	AL_065	3273	39.68835930339139
/Probe 1-96_200SPD_diaPASEF/BacLandscape_200SPD_diaPASEF_Acinetobacter_pittii_25_1-26-2024_4588.d	11204	1388	155338000.0	3686861069	48346313124	2.702	0.033	1.92726	1.1493	3.49904	2.38393	0	0	0.0481035	13.435	2.352	0.134	200SPD_DIA	007_Acinetobacter_pittii_DSM9312_DIA200_4588_report.stats.tsv	007_Acinetobacter_pittii_DSM9312_DIA200_4588	Probe 1-96_200SPD_diaPASEF_diann_res	10123	Acinetobacter pittii	48296	UniProt	UP000271320	DSM 9312(T)	TG41884	4014	34.57897359242651
/Probe 1-96_200SPD_diaPASEF/BacLandscape_200SPD_diaPASEF_Acinetobacter_pittii_58_1-26-2024_4654.d	13592	1558	326435000.0	6577858987	102377051956	2.776	0.034	2.72698	1.11164	3.99871	1.95829	0	0	0.0566373	13.764	2.387	0.165	200SPD_DIA	008_Acinetobacter_pittii_DSM9318_DIA200_4654_report.stats.tsv	008_Acinetobacter_pittii_DSM9318_DIA200_4654	Probe 1-96_200SPD_diaPASEF_diann_res	11965	Acinetobacter pittii	48296	UniProt	UP000271320	DSM 9318	TG41884	4014	38.814150473343304
/Probe 1-96_200SPD_diaPASEF/BacLandscape_200SPD_diaPASEF_Aeromonas_hydrophila_subsp_hydrophila_33_1-26-2024_4604.d	16430	1914	404048000.0	6982539944	109928749254	2.855	0.035	1.90104	1.07011	3.38179	1.98014	0	0	0.0523022	14.051	2.387	0.154	200SPD_DIA	011_Aeromonas_hydrophila_ssp_hydrophila_DSM30187_DIA200_4604_report.stats.tsv	011_Aeromonas_hydrophila_ssp_hydrophila_DSM30187_DIA200_4604	Probe 1-96_200SPD_diaPASEF_diann_res	14385	Aeromonas hydrophila_ssp_hydrophila	196023	UniProt	UP000000756	DSM 30187(T)	DSM 30187	4121	46.44503761223004
/Probe 1-96_200SPD_diaPASEF/BacLandscape_200SPD_diaPASEF_Aeromonas_hydrophila_subsp_ranae_23_1-25-2024_4584.d	12824	1636	234724000.0	5077255179	71706656556	2.767	0.033	1.84031	1.08106	3.47505	2.32679	0	0	0.0497314	13.582	2.361	0.137	200SPD_DIA	012_Aeromonas_hydrophila_ssp_ranae_DSM17695_DIA200_4584_report.stats.tsv	012_Aeromonas_hydrophila_ssp_ranae_DSM17695_DIA200_4584	Probe 1-96_200SPD_diaPASEF_diann_res	11496	Aeromonas hydrophila_ssp_ranae	208958	UniProt	UP000000756	DSM 17695(T)	DSM 30187	4121	39.699102159669984
/Probe 1-96_200SPD_diaPASEF/BacLandscape_200SPD_diaPASEF_Aeromonas_veronii_38_1-26-2024_4614.d	14539	1703	450162000.0	8699103825	154363818938	2.792	0.034	1.89509	1.22587	3.38551	1.83647	0	0	0.0525816	13.933	2.387	0.167	200SPD_DIA	013_Aeromonas_veronii_DSM7386_DIA200_4614_report.stats.tsv	013_Aeromonas_veronii_DSM7386_DIA200_4614	Probe 1-96_200SPD_diaPASEF_diann_res	12489	Aeromonas veronii	654	UniProt	UP000006087	DSM 7386	AMC34	4109	41.4456072036992
/Probe 1-96_200SPD_diaPASEF/BacLandscape_200SPD_diaPASEF_Alcaligenes_faecalis_subsp_faecalis_21_1-25-2024_4580.d	11224	1413	184559000.0	4596333820	63895193378	2.702	0.033	1.79066	1.0725	3.27356	2.27258	0	0	0.0462097	13.51	2.349	0.129	200SPD_DIA	021_Alcaligenes_faecalis_ssp_faecalis_DSM30030_DIA200_4580_report.stats.tsv	021_Alcaligenes_faecalis_ssp_faecalis_DSM30030_DIA200_4580	Probe 1-96_200SPD_diaPASEF_diann_res	10078	Alcaligenes faecalis_ssp_faecalis	32001	UniProt	UP000830925	DSM 30030(T)	D334	3770	37.48010610079576
/Probe 1-96_200SPD_diaPASEF/BacLandscape_200SPD_diaPASEF_Alcaligenes_faecalis_subsp_parafaecalis_43_1-26-2024_4624.d	9305	1308	205139000.0	5016797598	71875894628	2.834	0.034	1.9164	0.995358	3.3151	2.16967	0	0	0.0496993	13.327	2.347	0.134	200SPD_DIA	022_Alcaligenes_faecalis_ssp_parafaecalis_DSM13975_DIA200_4624_report.stats.tsv	022_Alcaligenes_faecalis_ssp_parafaecalis_DSM13975_DIA200_4624	Probe 1-96_200SPD_diaPASEF_diann_res	8273	Alcaligenes faecalis_ssp_parafaecalis	171260	UniProt	UP000830925	DSM 13975(T)	D334	3770	34.69496021220159
/Probe 1-96_200SPD_diaPASEF/BacLandscape_200SPD_diaPASEF_Bacteroides_fragilis__31_1-26-2024_4600.d	11512	1292	170264000.0	3922101539	51116444400	2.727	0.033	2.04475	1.10413	3.59203	2.31668	0	0	0.0525397	13.035	2.321	0.152	200SPD_DIA	064_Bacteroides_fragilis_DSM2151_DIA200_4600_report.stats.tsv	064_Bacteroides_fragilis_DSM2151_DIA200_4600	Probe 1-96_200SPD_diaPASEF_diann_res	10444	Bacteroides fragilis	817	UniProt	UP000003917	DSM 2151	CL05T12C13	4409	29.303696983442958
