File.Name	Precursors.Identified	Proteins.Identified	Total.Quantity	MS1.Signal	MS2.Signal	FWHM.Scans	FWHM.RT	Median.Mass.Acc.MS1	Median.Mass.Acc.MS1.Corrected	Median.Mass.Acc.MS2	Median.Mass.Acc.MS2.Corrected	MS2.Mass.Instability	Normalisation.Instability	Median.RT.Prediction.Acc	Average.Peptide.Length	Average.Peptide.Charge	Average.Missed.Tryptic.Cleavages	Group	Filename	Subfolder	Root	Peptides.Identified	Organism	Taxonomic ID (NCBI)	Database	Proteome_ID	Strain_ID_Experiment	Strain_ID_UniProt	Total.Protein.Number.Ref	Protein.Identification.Rate
/Probe 1-96_500SPD_diaPASEF/BacLandscape_500SPD_diaPASEF_Achromobacter_xylosoxidans_subsp_xylosoxidans_22_1-27-2024_4774.d	5706	1083	80507500.0	2570885756	21292482992	1.971	0.017	2.42528	1.08935	3.50114	2.09449	0	0	0.0147247	13.122	2.278	0.127	500SPD_DIA	002_Achromobacter_xylosoxidans_ssp_xylosoxidans_DSM2402_DIA500_4774_report.stats.tsv	002_Achromobacter_xylosoxidans_ssp_xylosoxidans_DSM2402_DIA500_4774	Probe 1-96_500SPD_diaPASEF_diann_res	5331	Achromobacter xylosoxidans_ssp_xylosoxidans	85698	UniProt	UP000060602	DSM 2402	FDAARGOS_147	6134	17.655689598956638
/Probe 1-96_500SPD_diaPASEF/BacLandscape_500SPD_diaPASEF_Acinetobacter_lwoffii_40_1-27-2024_4810.d	6416	973	114970000.0	3155772274	26875688464	1.91	0.016	2.27022	1.11984	3.50837	1.91815	0	0	0.0149295	13.562	2.331	0.14	500SPD_DIA	005_Acinetobacter_lwoffii_DSM2403_DIA500_4810_report.stats.tsv	005_Acinetobacter_lwoffii_DSM2403_DIA500_4810	Probe 1-96_500SPD_diaPASEF_diann_res	5853	Acinetobacter lwoffii	28090	UniProt	UP000293391	DSM 2403	AL_065	3273	29.728078215704244
/Probe 1-96_500SPD_diaPASEF/BacLandscape_500SPD_diaPASEF_Acinetobacter_pittii_25_1-27-2024_4780.d	5874	950	78820200.0	2128697102	16864641096	2.047	0.017	2.30862	1.15703	3.67124	2.23825	0	0	0.0146827	13.237	2.301	0.127	500SPD_DIA	007_Acinetobacter_pittii_DSM9312_DIA500_4780_report.stats.tsv	007_Acinetobacter_pittii_DSM9312_DIA500_4780	Probe 1-96_500SPD_diaPASEF_diann_res	5466	Acinetobacter pittii	48296	UniProt	UP000271320	DSM 9312(T)	TG41884	4014	23.667164922770304
/Probe 1-96_500SPD_diaPASEF/BacLandscape_500SPD_diaPASEF_Acinetobacter_pittii_58_1-27-2024_4846.d	7959	1211	158148000.0	3741760449	33176896888	2.045	0.017	2.59287	1.2317	3.70942	1.92488	0	0	0.0147734	13.752	2.347	0.156	500SPD_DIA	008_Acinetobacter_pittii_DSM9318_DIA500_4846_report.stats.tsv	008_Acinetobacter_pittii_DSM9318_DIA500_4846	Probe 1-96_500SPD_diaPASEF_diann_res	7219	Acinetobacter pittii	48296	UniProt	UP000271320	DSM 9318	TG41884	4014	30.16940707523667
/Probe 1-96_500SPD_diaPASEF/BacLandscape_500SPD_diaPASEF_Aeromonas_hydrophila_subsp_hydrophila_33_1-27-2024_4796.d	9273	1282	164951000.0	3603794641	31748740776	1.965	0.016	2.60351	1.07038	3.72479	1.98971	0	0	0.015552	13.704	2.335	0.141	500SPD_DIA	011_Aeromonas_hydrophila_ssp_hydrophila_DSM30187_DIA500_4796_report.stats.tsv	011_Aeromonas_hydrophila_ssp_hydrophila_DSM30187_DIA500_4796	Probe 1-96_500SPD_diaPASEF_diann_res	8417	Aeromonas hydrophila_ssp_hydrophila	196023	UniProt	UP000000756	DSM 30187(T)	DSM 30187	4121	31.108954137345307
/Probe 1-96_500SPD_diaPASEF/BacLandscape_500SPD_diaPASEF_Aeromonas_hydrophila_subsp_ranae_23_1-27-2024_4776.d	7249	1088	105020000.0	3009542771	25741924232	1.99	0.017	2.72503	1.1516	3.90693	2.06386	0	0	0.0158374	13.547	2.317	0.127	500SPD_DIA	012_Aeromonas_hydrophila_ssp_ranae_DSM17695_DIA500_4776_report.stats.tsv	012_Aeromonas_hydrophila_ssp_ranae_DSM17695_DIA500_4776	Probe 1-96_500SPD_diaPASEF_diann_res	6626	Aeromonas hydrophila_ssp_ranae	208958	UniProt	UP000000756	DSM 17695(T)	DSM 30187	4121	26.40135889347246
/Probe 1-96_500SPD_diaPASEF/BacLandscape_500SPD_diaPASEF_Aeromonas_veronii_38_1-27-2024_4806.d	8183	1144	179377000.0	4554519560	44963711800	1.911	0.016	2.11797	1.21001	3.47407	1.80769	0	0	0.0150681	13.776	2.342	0.165	500SPD_DIA	013_Aeromonas_veronii_DSM7386_DIA500_4806_report.stats.tsv	013_Aeromonas_veronii_DSM7386_DIA500_4806	Probe 1-96_500SPD_diaPASEF_diann_res	7318	Aeromonas veronii	654	UniProt	UP000006087	DSM 7386	AMC34	4109	27.841323923095647
/Probe 1-96_500SPD_diaPASEF/BacLandscape_500SPD_diaPASEF_Alcaligenes_faecalis_subsp_faecalis_21_1-27-2024_4772.d	6707	1048	94710600.0	2665279279	22526705480	1.962	0.016	2.35178	1.15451	3.62925	2.15251	0	0	0.0141728	13.359	2.302	0.114	500SPD_DIA	021_Alcaligenes_faecalis_ssp_faecalis_DSM30030_DIA500_4772_report.stats.tsv	021_Alcaligenes_faecalis_ssp_faecalis_DSM30030_DIA500_4772	Probe 1-96_500SPD_diaPASEF_diann_res	6220	Alcaligenes faecalis_ssp_faecalis	32001	UniProt	UP000830925	DSM 30030(T)	D334	3770	27.798408488063657
/Probe 1-96_500SPD_diaPASEF/BacLandscape_500SPD_diaPASEF_Alcaligenes_faecalis_subsp_parafaecalis_43_1-27-2024_4816.d	5744	907	111040000.0	3066313552	26059049808	2.008	0.017	2.55323	1.08046	3.56792	1.88627	0	0	0.016312	13.305	2.293	0.132	500SPD_DIA	022_Alcaligenes_faecalis_ssp_parafaecalis_DSM13975_DIA500_4816_report.stats.tsv	022_Alcaligenes_faecalis_ssp_parafaecalis_DSM13975_DIA500_4816	Probe 1-96_500SPD_diaPASEF_diann_res	5248	Alcaligenes faecalis_ssp_parafaecalis	171260	UniProt	UP000830925	DSM 13975(T)	D334	3770	24.05835543766578
/Probe 1-96_500SPD_diaPASEF/BacLandscape_500SPD_diaPASEF_Bacteroides_fragilis__31_1-27-2024_4792.d	6666	942	96515300.0	2448586602	19390375472	2.032	0.017	2.67169	1.16642	3.9635	2.12305	0	0	0.0149453	12.946	2.277	0.148	500SPD_DIA	064_Bacteroides_fragilis_DSM2151_DIA500_4792_report.stats.tsv	064_Bacteroides_fragilis_DSM2151_DIA500_4792	Probe 1-96_500SPD_diaPASEF_diann_res	6214	Bacteroides fragilis	817	UniProt	UP000003917	DSM 2151	CL05T12C13	4409	21.365388977092312
